Code,category_uz,category_ru,category_en,category_uz_cyrillic,date,value
1.42,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol oyoqlari","Ножки говяжьи, парные, охлажденные или мороженые, сушеные, соленые, в рассоле  или копченые","Beef feet (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол оёқлари",2024-01-01,100.0
1.43,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan til","Язык, парной, охлажденный или мороженый, сушеный, соленый, в рассоле  или копченый","Tongue (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган тил",2024-01-01,100.0
1.44,Pishirilgan kolbasa,Колбаса вареная,Cooked sausage,Пиширилган колбаса,2024-01-01,101.14
1.45,"Sosiskalar, sardelkalar","Сосиски, сардельки","Sausages, frankfurters","Сосискалар, сарделкалар",2024-01-01,100.2
1.46,Dudlangan va yarim dudlangan kolbasa,Колбаса копченая и полукопченая,Smoked and semi-smoked sausage,Дудланган ва ярим дудланган колбаса,2024-01-01,100.35
1.47,Qazi,Казы,Kazi,Қази,2024-01-01,100.43
1.48,Konservalangan dimlangan mol goʻshti,Говядина тушеная консервированная,Canned stewed beef,Консерваланган димланган мол гўшти,2024-01-01,98.8
1.49,"Tirik, yangi, sovutilgan  baliq","Рыба, живая, свежая, охлажденная","Fish, live, fresh, chilled","Тирик, янги, совутилган  балиқ",2024-01-01,99.01
1.5,Muzlatilgan baliq,Рыба мороженая,Frozen fish,Музлатилган балиқ,2024-01-01,98.98
1.51,"Quritilgan, tuzlangan, namakobga solingan  yoki dudlangan baliq","Рыба, вяленая, соленая, в рассоле или копченая","Fish, dried, salted, in brine or smoked","Қуритилган, тузланган, намакобга солинган  ёки дудланган балиқ",2024-01-01,100.0
1.52,Moyga solingan sardinalar,Сардины в масле,Sardines in oil,Мойга солинган сардиналар,2024-01-01,99.69
1.53,Moyga solingan shprotlar,Шпроты в масле,Sprats in oil,Мойга солинган шпротлар,2024-01-01,100.0
1.54,Pomidor qaylasiga solingan kilka,Килька в томатном соусе,Sprat in tomato sauce,Помидор қайласига солинган килка,2024-01-01,100.0
1.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),2024-01-01,100.0
1.56,Pasterizatsiya qilingan sut,Молоко пастеризованное,Pasteurized milk,Пастеризация қилинган сут,2024-01-01,98.74
1.57,Qaymoq,Каймак,Sweat Cream,Қаймоқ,2024-01-01,100.0
1.58,Quyultirilgan sut,Молоко сгущенное,Condensed milk,Қуюлтирилган сут,2024-01-01,100.0
1.59,Quruq qaymoq,Сливки сухие,Dry cream,Қуруқ қаймоқ,2024-01-01,100.0
1.6,Qattiq pishloqlar,Сыры твердые,Hard cheeses,Қаттиқ пишлоқлар,2024-01-01,100.0
