Code,category_uz,category_ru,category_en,category_uz_cyrillic,date,value
3.75,"Dam olish markazlari, kempinglar, yoshlar yotoqxonalari va shu kabi mehmonxona xizmatlari","Центры отдыха, кемпинги, молодежные общежития и аналогичное гостиничное обслуживание","Holiday centres, campsites, youth hostels and similar accommodation services","Дам олиш марказлари, кемпинглар, ёшлар ётоқхоналари ва шу каби меҳмонхона хизматлари",2024-03-01,100.0
3.76,Shaxsiy transport vositalarini sugʻurtalash,Страхование личных транспортных средств,Personal vehicle insurance,Шахсий транспорт воситаларини суғурталаш,2024-03-01,100.0
3.77,Banklar kreditlarini sugʻurtalash,Страхование кредита в банках,Bank credit insurance,Банклар кредитларини суғурталаш,2024-03-01,100.0
3.78,Bank muassasalari xizmatlari,Услуги банковских учреждений,Banking services,Банк муассасалари хизматлари,2024-03-01,99.37
3.79,Pul oʻtkazmalari uchun xaq toʻlash,Плата за денежные переводы,Money transfer fees,Пул ўтказмалари учун хақ тўлаш,2024-03-01,100.65
3.8,Elektron toʻlov tizimlari orqali pul vositalarini oʻtkazish boʻyicha xizmatlar,Услуги по переводу денежных средств через электронных платёжных систем,Money transfer services via electronic payment systems,Электрон тўлов тизимлари орқали пул воситаларини ўтказиш бўйича хизматлар,2024-03-01,100.0
3.81,Mikromoliyaviy tashkilotlar va lombardlar tomonidan koʻrsatiladigan xizmatlar,Услуги микрофинансовых организаций и ломбардов,Microfinance organizations and pawnshop services,Микромолиявий ташкилотлар ва ломбардлар томонидан кўрсатиладиган хизматлар,2024-03-01,100.0
3.82,Ayollar va qizlar uchun sartaroshxona xizmatlari,Услуги парикмахерских для женщин и девочек,Hairdressing services for women and girls,Аёллар ва қизлар учун сартарошхона хизматлари,2024-03-01,100.0
3.83,Erkaklar va oʻgʻil bolalar uchun sartaroshxonalar xizmatlari,Услуги парикмахерских для мужчин и мальчиков,Hairdressing services for men and boys,Эркаклар ва ўғил болалар учун сартарошхоналар хизматлари,2024-03-01,100.0
3.84,Kosmetologlar xizmatlari,Услуги косметолога,Cosmetologist services,Косметологлар хизматлари,2024-03-01,100.0
3.85,Xammom va dushxonalar xizmatlari,Услуги бань и душевых,Bath and shower services,Хаммом ва душхоналар хизматлари,2024-03-01,100.0
3.86,Soatlarni taʼmirlash,Ремонт часов,Watch repair,Соатларни таъмирлаш,2024-03-01,100.0
3.87,Zargarlik xizmati,Услуги ювелиров,Jewelers services,Заргарлик хизмати,2024-03-01,100.0
3.88,Diniy xizmatlar,Ритуальные услуги,Funeral services,Диний хизматлар,2024-03-01,100.0
3.89,Huquqiy tusdagi xizmatlar,Услуги правового хаpактеpа,Legal services,Ҳуқуқий тусдаги хизматлар,2024-03-01,100.0
3.9,Xujjatlardan nusxa koʻchirish (kserokopiyalash) boʻyicha xizmatlar,Услуги по ксерокопированию документов,Document photocopying services,Хужжатлардан нусха кўчириш (ксерокопиялаш) бўйича хизматлар,2024-03-01,100.0
1.0,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,2024-04-01,100.87
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,2024-04-01,100.44
1.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,2024-04-01,103.13
1.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,2024-04-01,99.5
1.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,2024-04-01,100.53
1.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,2024-04-01,102.25
1.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),2024-04-01,97.34
1.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,2024-04-01,99.24
1.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,2024-04-01,102.3
1.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",2024-04-01,99.89
1.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,2024-04-01,101.23
1.1,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,2024-04-01,100.36
1.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,2024-04-01,100.47
1.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,2024-04-01,102.69
1.13,Obinon,Лепешки,Flatbreads,Обинон,2024-04-01,100.65
1.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,2024-04-01,100.0
1.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",2024-04-01,100.44
1.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",2024-04-01,100.41
1.17,Pechenye,Печенье,Cookies,Печене,2024-04-01,100.03
1.18,Vafli,Вафли,Wafers,Вафли,2024-04-01,101.11
1.19,Pryaniklar,Пряники,Gingerbread,Пряниклар,2024-04-01,98.82
1.2,Tortlar,Торты,Cakes,Тортлар,2024-04-01,100.35
1.21,Turli xil pirojniylar,Пирожные разных видов,Pastries of various types,Турли хил пирожнийлар,2024-04-01,100.33
1.22,Kekslar,Кексы,Cupcakes,Кекслар,2024-04-01,100.17
1.23,Korjiklar,Коржики,Biscuits,Коржиклар,2024-04-01,100.07
1.24,Chak chak,Чак чак,Chak-chak,Чак чак,2024-04-01,97.99
1.25,"Tayyor nonushtalar shaklidagi boshoqli donlar (""quruq nonushtalar"")","Зерна злаков в виде готовых завтраков (""сухие завтраки"")","Ready-to-eat cereal grains (""breakfast cereals"")","Тайёр нонушталар шаклидаги бошоқли донлар (""қуруқ нонушталар"")",2024-04-01,98.5
1.26,Vermishel,Вермишель,Vermicelli,Вермишел,2024-04-01,101.28
1.27,Ugra (shu jumladan lagʻmon uchun),Лапша (в том числе для лагмана),Noodles (including for lagman),Угра (шу жумладан лағмон учун),2024-04-01,100.36
1.28,"Makaronlar, spagetti","Макароны, спагетти","Pasta, spaghetti","Макаронлар, спагетти",2024-04-01,100.12
1.29,"Shakldor mahsulotlar (chigʻanoqlar, yulduzchalar va shu kabilar)","Фигурные изделия (ракушки, звездочки и аналогичные)","Shaped products (shells, stars and similar)","Шаклдор маҳсулотлар (чиғаноқлар, юлдузчалар ва шу кабилар)",2024-04-01,99.8
1.3,"Chuchvaralar va shu kabi mahsulotlar, xom","Пельмени и аналогичные изделия, сырые","Dumplings and similar products, raw","Чучваралар ва шу каби маҳсулотлар, хом",2024-04-01,100.49
1.31,Tez tayyorlanadigan ugra,Угра быстрого приготовления,Instant noodles,Тез тайёрланадиган угра,2024-04-01,101.03
1.32,Pop-korn,Поп-корн,Popcorn,Поп-корн,2024-04-01,99.64
1.33,Non-bulka mahsulotlarini tayyorlash uchun aralashmalar va xamir,Смеси и тесто для приготовления хлебобулочных изделий,Mixes and dough for bakery products,Нон-булка маҳсулотларини тайёрлаш учун аралашмалар ва хамир,2024-04-01,100.16
1.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),2024-04-01,100.47
1.35,Suyaksiz mol goʻshti,Говядина бескостная,Boneless beef,Суяксиз мол гўшти,2024-04-01,101.73
1.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,2024-04-01,100.44
1.37,Choʻchqa goʻshti,Свинина,Pork,Чўчқа гўшти,2024-04-01,100.0
1.38,Parranda goʻshti (sonlaridan tashqari),Мясо птицы (кроме окорочков),Poultry meat (except legs),Парранда гўшти (сонларидан ташқари),2024-04-01,98.8
1.39,"Tovuq boldiri, son qismlari","Голень куриная, окорочка",Chicken legs/drumsticks,"Товуқ болдири, сон қисмлари",2024-04-01,97.76
1.4,"Qiyma (yogʻli, yarim yogʻli)","Мясной фарш (жирный, полужирный)","Meat mince (fatty, semi-fatty)","Қийма (ёғли, ярим ёғли)",2024-04-01,100.48
1.41,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol va qoʻy jigari","Печень говяжья, баранья, парная, охлажденная или мороженая, сушеная, соленая, в рассоле  или копченая","Beef/lamb liver (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол ва қўй жигари",2024-04-01,99.2
1.42,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol oyoqlari","Ножки говяжьи, парные, охлажденные или мороженые, сушеные, соленые, в рассоле  или копченые","Beef feet (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол оёқлари",2024-04-01,102.31
1.43,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan til","Язык, парной, охлажденный или мороженый, сушеный, соленый, в рассоле  или копченый","Tongue (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган тил",2024-04-01,98.66
1.44,Pishirilgan kolbasa,Колбаса вареная,Cooked sausage,Пиширилган колбаса,2024-04-01,100.41
1.45,"Sosiskalar, sardelkalar","Сосиски, сардельки","Sausages, frankfurters","Сосискалар, сарделкалар",2024-04-01,102.07
1.46,Dudlangan va yarim dudlangan kolbasa,Колбаса копченая и полукопченая,Smoked and semi-smoked sausage,Дудланган ва ярим дудланган колбаса,2024-04-01,100.43
1.47,Qazi,Казы,Kazi,Қази,2024-04-01,100.0
1.48,Konservalangan dimlangan mol goʻshti,Говядина тушеная консервированная,Canned stewed beef,Консерваланган димланган мол гўшти,2024-04-01,100.31
1.49,"Tirik, yangi, sovutilgan  baliq","Рыба, живая, свежая, охлажденная","Fish, live, fresh, chilled","Тирик, янги, совутилган  балиқ",2024-04-01,100.99
1.5,Muzlatilgan baliq,Рыба мороженая,Frozen fish,Музлатилган балиқ,2024-04-01,100.0
1.51,"Quritilgan, tuzlangan, namakobga solingan  yoki dudlangan baliq","Рыба, вяленая, соленая, в рассоле или копченая","Fish, dried, salted, in brine or smoked","Қуритилган, тузланган, намакобга солинган  ёки дудланган балиқ",2024-04-01,101.54
1.52,Moyga solingan sardinalar,Сардины в масле,Sardines in oil,Мойга солинган сардиналар,2024-04-01,100.43
1.53,Moyga solingan shprotlar,Шпроты в масле,Sprats in oil,Мойга солинган шпротлар,2024-04-01,99.48
1.54,Pomidor qaylasiga solingan kilka,Килька в томатном соусе,Sprat in tomato sauce,Помидор қайласига солинган килка,2024-04-01,100.28
1.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),2024-04-01,102.7
1.56,Pasterizatsiya qilingan sut,Молоко пастеризованное,Pasteurized milk,Пастеризация қилинган сут,2024-04-01,100.7
1.57,Qaymoq,Каймак,Sweat Cream,Қаймоқ,2024-04-01,100.14
1.58,Quyultirilgan sut,Молоко сгущенное,Condensed milk,Қуюлтирилган сут,2024-04-01,100.83
1.59,Quruq qaymoq,Сливки сухие,Dry cream,Қуруқ қаймоқ,2024-04-01,100.3
1.6,Qattiq pishloqlar,Сыры твердые,Hard cheeses,Қаттиқ пишлоқлар,2024-04-01,100.78
1.61,"Yumshoq pishloqlar, kolbasa shaklidagi pishloq","Сыры плавленые, колбасный сыр","Processed cheeses, sausage cheese","Юмшоқ пишлоқлар, колбаса шаклидаги пишлоқ",2024-04-01,101.7
1.62,Brinza,Брынза,Feta cheese,Бринза,2024-04-01,100.08
1.63,Tvorog,Творог,Cottage cheese,Творог,2024-04-01,100.2
1.64,Tvorogli siroklar va sirok massasi,Сырки творожные и сырковая масса,Curd cheese and curd mass,Творогли сироклар ва сирок массаси,2024-04-01,104.21
1.65,Tayoqcha shaklidagi pishloqlar,Сырные палочки,Cheese sticks,Таёқча шаклидаги пишлоқлар,2024-04-01,100.48
1.66,Smetana,Сметана,Sour cream,Сметана,2024-04-01,100.61
1.67,"Kefir, prostokvasha va boshqalar","Кефир, пpостокваша и т.п.","Kefir, sour milk, etc.","Кефир, простокваша ва бошқалар",2024-04-01,99.05
1.68,Yogurt,Йогурт,Yoghurt,Йогурт,2024-04-01,100.79
1.69,Suzma,Сузьма,Suzma,Сузма,2024-04-01,100.52
1.7,Qurt,Курт,Kurt,Қурт,2024-04-01,101.01
1.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,2024-04-01,91.03
1.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,2024-04-01,98.12
1.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,2024-04-01,100.43
1.74,Sariyogʻ,Масло сливочное,Butter,Сариёғ,2024-04-01,100.17
1.75,Margarin,Маргарин,Margarine,Маргарин,2024-04-01,100.47
1.76,"Xom xayvon yogʻlari, dumba yogʻi va shu kabilar  (shpikdan tashqari)","Жир животный сырой, курдючный и аналогичный (кроме шпика)","Animal fat, crude, tail fat and similar (except lard)","Хом хайвон ёғлари, думба ёғи ва шу кабилар  (шпикдан ташқари)",2024-04-01,100.0
1.77,"Choʻchqa yogʻi, shpik","Свиной шпик, сало","Pork fat, lard","Чўчқа ёғи, шпик",2024-04-01,95.54
1.78,Bananlar,"Бананы, свежие","Bananas, fresh",Бананлар,2024-04-01,109.76
1.79,Limonlar,"Лимоны, свежие","Lemons, fresh",Лимонлар,2024-04-01,108.19
1.8,Mandarinlar,"Мандарины, свежие","Tangerines, fresh",Мандаринлар,2024-04-01,107.96
1.81,Apelsinlar,"Апельсины, свежие","Oranges, fresh",Апельсинлар,2024-04-01,112.3
1.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,2024-04-01,103.61
1.83,Noklar,"Груши, свежие","Pears, fresh",Ноклар,2024-04-01,101.79
1.84,Shaftolilar,"Персики, свежие","Peaches, fresh",Шафтолилар,2024-04-01,102.59
1.85,Uzumlar,"Виноград, свежий","Grapes, fresh",Узумлар,2024-04-01,102.47
1.86,Yangi uzilgan tarvuzlar,"Арбузы, свежие","Watermelons, fresh",Янги узилган тарвузлар,2024-04-01,102.47
1.87,Yangi uzilgan qovunlar,"Дыни, свежие","Melons, fresh",Янги узилган қовунлар,2024-04-01,102.47
1.88,Anorlar,"Гранаты, свежие","Pomegranates, fresh",Анорлар,2024-04-01,102.47
1.89,"Mayiz, kishmish","Изюм, кишмиш","Raisins, sultanas","Майиз, кишмиш",2024-04-01,105.52
1.9,"Bargak, turshak","Курага, сушеный урюк","Dried apricots, dried apricots","Баргак, туршак",2024-04-01,98.81
1.91,Quritilgan naʼmatak,Сушеный шиповник,Dried rose hips,Қуритилган наъматак,2024-04-01,100.0
1.92,Poʻchoqli yoki poʻchogʻi tozalangan yongʻoqlar,"Орехи грецкие, в скорлупе или очищенные от скорлупы","Walnuts, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган ёнғоқлар,2024-04-01,99.98
1.93,Poʻchoqli yoki poʻchogʻi tozalangan pista,"Фисташки, в скорлупе или очищенные от скорлупы","Pistachios, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган писта,2024-04-01,100.0
1.94,Poʻchoqli yoki poʻchogʻi tozalangan bodom,"Миндаль, в скорлупе или очищенный от скорлупы","Almonds, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган бодом,2024-04-01,100.15
1.95,Poʻchoqli yoki poʻchogʻi tozalangan yeryongʻoqlar,"Арахис, в скорлупе или очищенный от скорлупы","Peanuts, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган ерёнғоқлар,2024-04-01,100.0
1.96,Tuzli abrikos yoki oʻrik danaklari,Соленые абрикосовые или урюковые косточки,Salted apricot or dried apricot pits,Тузли абрикос ёки ўрик данаклари,2024-04-01,101.5
1.97,Qovurilgan kungaboqar urugʻi,"Семена подсолнечника, жареные","Sunflower seeds, roasted",Қовурилган кунгабоқар уруғи,2024-04-01,100.18
1.98,"Konservalangan mevalar, kompot (murabbo va shu kabi mahsulotlardan tashqari)","Фрукты консервированные, включая компот (кроме варенья и аналогичной продукции)","Canned fruits, including compote (except jam and similar products)","Консерваланган мевалар, компот (мураббо ва шу каби маҳсулотлардан ташқари)",2024-04-01,100.0
1.99,Karam,Капуста белокочанная,White cabbage,Карам,2024-04-01,102.96
1.1,"Yangi uzilgan yoki sovutilgan koʻkatlar (ukrop, petrushka, yashil kashnich va shu kabi)","Зелень (укроп, петрушка, киндза зеленая и аналогичные), свежая или охлажденная","Greens (dill, parsley, green coriander and similar), fresh or chilled","Янги узилган ёки совутилган кўкатлар (укроп, петрушка, яшил кашнич ва шу каби)",2024-04-01,88.68
1.101,Yangi uzilgan bodringlar,Огурцы свежие,Fresh cucumbers,Янги узилган бодринглар,2024-04-01,75.79
1.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,2024-04-01,102.98
1.103,Baqlajonlar,Баклажаны,Eggplants,Бақлажонлар,2024-04-01,97.89
1.104,Yangi uzilgan bulgʻor qalampiri,"Перец болгарский, свежий","Bell pepper, fresh",Янги узилган булғор қалампири,2024-04-01,97.12
1.105,Qovoq,Тыква,Pumpkin,Қовоқ,2024-04-01,120.18
1.106,Lavlagi,Свекла,Beetroot,Лавлаги,2024-04-01,105.57
1.107,Sabzi,Морковь,Carrot,Сабзи,2024-04-01,99.56
1.108,Sholgʻom,Репа,Turnip,Шолғом,2024-04-01,111.34
1.109,Sarimsoq,Чеснок,Garlic,Саримсоқ,2024-04-01,100.22
1.11,Piyoz,Лук репчатый,Onion,Пиёз,2024-04-01,97.29
1.111,Turp,Редька,Radish,Турп,2024-04-01,109.76
1.112,"Yangi uzilgan, sovutilgan va marinadlangan qoʻziqorinlar","Грибы, свежие, охлажденные и маринованные","Mushrooms, fresh, chilled and pickled","Янги узилган, совутилган ва маринадланган қўзиқоринлар",2024-04-01,100.3
1.113,Kartoshka,Картофель,Potato,Картошка,2024-04-01,102.23
1.114,Loviya,Фасоль,Beans,Ловия,2024-04-01,104.46
1.115,Noxat,Горох,Peas,Нохат,2024-04-01,100.09
1.116,Mosh,Маш,Mung bean,Мош,2024-04-01,102.97
1.117,Tuzlangan yoki marinadlangan bodringlar,Огурцы соленые или маринованные,Pickled or marinated cucumbers,Тузланган ёки маринадланган бодринглар,2024-04-01,99.21
1.118,Tuzlangan karam,Квашеная или соленая капуста,Sauerkraut or salted cabbage,Тузланган карам,2024-04-01,96.38
1.119,Tuzlangan yoki marinadlangan pomidorlar,Соленые или маринованные помидоры,Salted or marinated tomatoes,Тузланган ёки маринадланган помидорлар,2024-04-01,101.52
1.12,Pomidor pastasi,Томатная паста,Tomato paste,Помидор пастаси,2024-04-01,101.0
1.121,Kartoshka chips,Картофельные чипсы,Potato chips,Картошка чипс,2024-04-01,99.7
1.122,Konservalangan noxat,Консервированный горох,Canned peas,Консерваланган нохат,2024-04-01,102.16
1.123,Shakar,Сахар-песок,Sugar,Шакар,2024-04-01,101.9
1.124,Oq qand,Сахар-рафинад,Refined sugar,Оқ қанд,2024-04-01,100.85
1.125,Novvot,Навват,Navvat,Новвот,2024-04-01,100.86
1.126,"Mevali murabbo, jem","Варенье, джем из фруктов",Fruit jam,"Мевали мураббо, жем",2024-04-01,100.18
1.127,Marmelad,Мармелад,Marmalade,Мармелад,2024-04-01,98.84
1.128,Asal,Мед,Honey,Асал,2024-04-01,100.64
1.129,Kakao,Какао,Cocoa,Какао,2024-04-01,99.63
1.13,Shokolad plitkasi,Шоколадные плитки,Chocolate bars,Шоколад плиткаси,2024-04-01,100.9
1.131,"Shokoladli konfetlar, batonchiklar","Шоколадные конфеты, батончики","Chocolate candies, bars","Шоколадли конфетлар, батончиклар",2024-04-01,100.12
1.132,Shokoladli krem,Шоколадный крем,Chocolate cream,Шоколадли крем,2024-04-01,100.73
1.133,Muzqaymoq,Мороженое,Ice cream,Музқаймоқ,2024-04-01,100.25
1.134,Karamel konfetlar,Конфеты карамель,Caramel candies,Карамел конфетлар,2024-04-01,99.93
1.135,"Xolva, parvarda va shu kabi milliy shirinlik turlari","Халва, парварда и аналогичные виды национальных сладостей","Halva, parvarda and similar types of national sweets","Холва, парварда ва шу каби миллий ширинлик турлари",2024-04-01,100.42
1.136,Zefir,Зефир,Marshmallows,Зефир,2024-04-01,99.98
1.137,Saqich,Жевательная резинка,Chewing gum,Сақич,2024-04-01,99.82
1.138,Tayyor oziq-ovqat taomlar,Готовые пищевые продукты,Ready-made food products,Тайёр озиқ-овқат таомлар,2024-04-01,100.72
1.139,Bolalar ovqatlanishi uchun quruq sutli aralashmalar,Сухие молочные смеси для детского питания,Dry milk mixtures for baby food,Болалар овқатланиши учун қуруқ сутли аралашмалар,2024-04-01,103.38
1.14,Bolalar ovqatlanishi uchun boʻtqalar,Каши для детского питания,Porridges for baby food,Болалар овқатланиши учун бўтқалар,2024-04-01,100.08
1.141,Tuz,Соль,Salt,Туз,2024-04-01,101.51
1.142,Mayonez,Майонез,Mayonnaise,Майонез,2024-04-01,100.85
1.143,Uksus,Уксус,Vinegar,Уксус,2024-04-01,100.28
1.144,"Pomidor sousi, ketchup","Томатный соус, кетчуп","Tomato sauce, ketchup","Помидор соуси, кетчуп",2024-04-01,101.32
1.145,Lavr yaprogʻi,Лавровый лист,Bay leaf,Лавр япроғи,2024-04-01,100.0
1.146,Kashnich urugʻi,Киндза в зернах,Cilantro beans,Кашнич уруғи,2024-04-01,101.18
1.147,Murch  va qizil qalampir,"Перец черный, красный",Black and red pepper,Мурч  ва қизил қалампир,2024-04-01,100.77
1.148,Zira,Зира,Cuminous,Зира,2024-04-01,101.67
1.149,Tayyor ziravorlar,Готовые приправы,Ready-made seasonings,Тайёр зираворлар,2024-04-01,99.84
1.15,Xamirturush,Дрожжи,Yeast,Хамиртуруш,2024-04-01,99.45
1.151,Ovqatga ishlatiladigan soda,Сода пищевая,Baking soda,Овқатга ишлатиладиган сода,2024-04-01,104.44
1.152,Meva va sabzavotlardan tayyorlangan soklar,Фруктовые и овощные соки,Fruit and vegetable juices,Мева ва сабзавотлардан тайёрланган соклар,2024-04-01,100.68
1.153,Kofe,Кофе растворимый,Instant coffee,Кофе,2024-04-01,100.73
1.154,Tabiiy kofe donalari,Натуральные кофейные зерна,Natural coffee beans,Табиий кофе доналари,2024-04-01,101.14
1.155,Qora choy,Чай черный,Black tea,Қора чой,2024-04-01,99.93
1.156,Koʻk choy,Чай зеленый,Green tea,Кўк чой,2024-04-01,100.18
1.157,Kakao ichimliklari,Какао напитки,Cocoa drinks,Какао ичимликлари,2024-04-01,100.28
1.158,"Mineral, gazlangan suvlar","Вода минеральная, газированная","Mineral water, carbonated","Минерал, газланган сувлар",2024-04-01,102.63
1.159,"Koka-kola, limonad va shu kabi ichimliklar","Кока-кола, лимонад и аналогичные напитки (кpоме мин.воды)","Coca-Cola, lemonade and similar drinks (except mineral water)","Кока-кола, лимонад ва шу каби ичимликлар",2024-04-01,102.09
1.16,Kvas,Квас,Kvass,Квас,2024-04-01,100.0
1.161,Mors,Морс,Morse,Морс,2024-04-01,100.0
1.162,Choy ekstrakti asosidagi salqin ichimliklar,Прохладительные напитки на основе чайных экстрактов,Soft drinks based on tea extracts,Чой экстракти асосидаги салқин ичимликлар,2024-04-01,101.38
1.163,Energetik ichimliklar,Энергетические напитки,Energy drinks,Энергетик ичимликлар,2024-04-01,100.89
1.164,Aroq,Водка,Vodka,Ароқ,2024-04-01,106.96
1.165,Konyak,Коньяк,Cognac,Коньяк,2024-04-01,103.19
1.166,Uzum vinosi,Вино виноградное,Grape wine,Узум виноси,2024-04-01,98.14
1.167,Pivo,Пиво,Beer,Пиво,2024-04-01,100.29
1.168,Kafedagi tayyor taomlar,Готовая пища в кафе,Ready-to-eat food in cafes,Кафедаги тайёр таомлар,2024-04-01,100.45
1.169,Oshxonadagi tayyor taomlar,Готовая пища в столовых,Ready-to-eat food in canteens,Ошхонадаги тайёр таомлар,2024-04-01,100.37
1.17,"Boshqa oshxonalar, kafeteriylar va gazakxonalar","Прочие столовые, кафетерии и закусочные","Other canteens, cafeterias and snack bars","Бошқа ошхоналар, кафетерийлар ва газакхоналар",2024-04-01,100.79
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,2024-04-01,101.05
2.1,Sigaretlar,Сигареты,Cigarettes,Сигаретлар,2024-04-01,100.0
2.2,Nosvoy,Насвай,Nasvay,Носвой,2024-04-01,100.0
2.3,Kiyim tayyorlash uchun ip gazlamalar,Ткани хлопчатобумажные для изготовления одежды,Cotton fabrics for making clothes,Кийим тайёрлаш учун ип газламалар,2024-04-01,100.0
2.4,Kiyim tayyorlash uchun jun gazlamalar,Ткани шерстяные для изготовления одежды,Wool fabrics for making clothes,Кийим тайёрлаш учун жун газламалар,2024-04-01,100.0
2.5,Kiyim tayyorlash uchun ipak gazlamalar,Ткани шелковые для изготовления одежды,Silk fabrics for making clothes,Кийим тайёрлаш учун ипак газламалар,2024-04-01,100.0
2.6,Kiyim tayyorlash uchun sunʼiy gazlamalar,Ткани синтетические для изготовления одежды,Synthetic fabrics for making clothes,Кийим тайёрлаш учун сунъий газламалар,2024-04-01,100.0
2.7,"Erkaklar uchun qishki palto, kalta palto","Пальто, полупальто зимнее мужское","Men's winter coat, short coat","Эркаклар учун қишки пальто, калта пальто",2024-04-01,100.0
2.8,Erkaklar uchun qishki kurtka,Куртка зимняя мужская,Men's winter jacket,Эркаклар учун қишки куртка,2024-04-01,100.0
2.9,Erkaklar uchun yengil (demisezon) kurtka,Куртка демисезонная мужская,Men's demi-season jacket,Эркаклар учун енгил (демисезон) куртка,2024-04-01,100.29
2.1,Erkaklar uchun charm kurtka,Куртка кожаная мужская,Men's leather jacket,Эркаклар учун чарм куртка,2024-04-01,100.0
2.11,Oʻgʻil bolalar uchun qishki kurtka,Куртка зимняя для мальчиков,Winter jacket for boys,Ўғил болалар учун қишки куртка,2024-04-01,100.09
2.12,Oʻgʻil bolalar uchun yengil (demisezon) kurtka,Куртка демисезонная для мальчиков,Demi-season jacket for boys,Ўғил болалар учун енгил (демисезон) куртка,2024-04-01,100.08
2.13,Oʻgʻil bolalar uchun charm kurtka,Куртка кожаная для мальчиков,Leather jacket for boys,Ўғил болалар учун чарм куртка,2024-04-01,100.0
2.14,Erkaklar uchun plash,Плащ мужской,Men's raincoat,Эркаклар учун плаш,2024-04-01,100.0
2.15,"Erkaklar uchun choponlar, milliy ustki kamzullar, toʻnlar","Мужские чапаны, национальные верхние камзолы, халаты","Men's chapans, national outer camisoles, robes","Эркаклар учун чопонлар, миллий устки камзуллар, тўнлар",2024-04-01,100.0
